timestamp,load_forecast_k1,load_forecast_k2,load_forecast_k3,load_forecast_k4,load_forecast_k5
1/18/07 13:00,10573,10573,10573,10573,10573
1/18/07 14:00,10461,10461,10461,10461,10461
1/18/07 15:00,10442,10442,10442,10442,10442
1/18/07 16:00,11140,11140,11140,11140,11140
1/18/07 17:00,11663,11663,11663,11663,11663
1/18/07 18:00,11519,11519,11519,11519,11519
1/18/07 19:00,11221,11221,11221,11221,11221
1/18/07 20:00,10766,10766,10766,10766,10766
1/18/07 21:00,10856,10856,10856,10856,10856
1/18/07 22:00,10911,10911,10911,10911,10911
1/18/07 23:00,10359,10359,10359,10359,10359
1/19/07 0:00,9948,9948,9948,9948,9948
1/19/07 1:00,9719,9719,9719,9719,9719
1/19/07 2:00,9413,9413,9413,9413,9413
1/19/07 3:00,9498,9498,9498,9498,9498
1/19/07 4:00,9989,9989,9989,9989,9989
1/19/07 5:00,11223,11223,11223,11223,11223
1/19/07 6:00,12251,12251,12251,12251,12251
1/19/07 7:00,12810,12810,12810,12810,12810
1/19/07 8:00,12955,12955,12955,12955,12955
1/19/07 9:00,12976,12976,12976,12976,12976
1/19/07 10:00,13024,13024,13024,13024,13024
1/19/07 11:00,12811,12811,12811,12811,12811
1/19/07 12:00,12922,12922,12922,12922,12922
1/19/07 13:00,12811,12811,12811,12811,12811
1/19/07 14:00,12736,12736,12736,12736,12736
1/19/07 15:00,12666,12666,12666,12666,12666
1/19/07 16:00,13281,13281,13281,13281,13281
1/19/07 17:00,13513,13513,13513,13513,13513
1/19/07 18:00,12958,12958,12958,12958,12958
1/19/07 19:00,12322,12322,12322,12322,12322
1/19/07 20:00,11614,11614,11614,11614,11614
1/19/07 21:00,11848,11848,11848,11848,11848
1/19/07 22:00,11860,11860,11860,11860,11860
1/19/07 23:00,11212,11212,11212,11212,11212
1/20/07 0:00,10659,10659,10659,10659,10659
1/20/07 1:00,10368,10368,10368,10368,10368
1/20/07 2:00,10113,10113,10113,10113,10113
1/20/07 3:00,10169,10169,10169,10169,10169
1/20/07 4:00,10567,10567,10567,10567,10567
1/20/07 5:00,11722,11722,11722,11722,11722
1/20/07 6:00,12678,12678,12678,12678,12678
1/20/07 7:00,12971,12971,12971,12971,12971
1/20/07 8:00,13026,13026,13026,13026,13026
1/20/07 9:00,13023,13023,13023,13023,13023
1/20/07 10:00,13043,13043,13043,13043,13043
1/20/07 11:00,12798,12798,12798,12798,12798
1/20/07 12:00,12705,12705,12705,12705,12705
1/20/07 13:00,12641,12641,12641,12641,12641
1/20/07 14:00,12582,12582,12582,12582,12582
1/20/07 15:00,12555,12555,12555,12555,12555
1/20/07 16:00,13186,13186,13186,13186,13186
1/20/07 17:00,13531,13531,13531,13531,13531
1/20/07 18:00,13078,13078,13078,13078,13078
1/20/07 19:00,12444,12444,12444,12444,12444
1/20/07 20:00,11834,11834,11834,11834,11834
1/20/07 21:00,12078,12078,12078,12078,12078
1/20/07 22:00,11998,11998,11998,11998,11998
1/20/07 23:00,11463,11463,11463,11463,11463
1/21/07 0:00,11048,11048,11048,11048,11048
1/21/07 1:00,10584,10584,10584,10584,10584
1/21/07 2:00,10281,10281,10281,10281,10281
1/21/07 3:00,10228,10228,10228,10228,10228
1/21/07 4:00,10614,10614,10614,10614,10614
1/21/07 5:00,11683,11683,11683,11683,11683
1/21/07 6:00,12626,12626,12626,12626,12626
1/21/07 7:00,12936,12936,12936,12936,12936
1/21/07 8:00,13045,13045,13045,13045,13045
1/21/07 9:00,12959,12959,12959,12959,12959
1/21/07 10:00,13035,13035,13035,13035,13035
1/21/07 11:00,12829,12829,12829,12829,12829
1/21/07 12:00,12841,12841,12841,12841,12841
1/21/07 13:00,12679,12679,12679,12679,12679
1/21/07 14:00,12633,12633,12633,12633,12633
1/21/07 15:00,12584,12584,12584,12584,12584
1/21/07 16:00,13185,13185,13185,13185,13185
1/21/07 17:00,13491,13491,13491,13491,13491
1/21/07 18:00,13051,13051,13051,13051,13051
1/21/07 19:00,12388,12388,12388,12388,12388
1/21/07 20:00,11761,11761,11761,11761,11761
1/21/07 21:00,11866,11866,11866,11866,11866
1/21/07 22:00,11837,11837,11837,11837,11837
1/21/07 23:00,11354,11354,11354,11354,11354
1/22/07 0:00,10933,10933,10933,10933,10933
1/22/07 1:00,10447,10447,10447,10447,10447
1/22/07 2:00,10200,10200,10200,10200,10200
1/22/07 3:00,10150,10150,10150,10150,10150
1/22/07 4:00,10475,10475,10475,10475,10475
1/22/07 5:00,11672,11672,11672,11672,11672
1/22/07 6:00,12685,12685,12685,12685,12685
1/22/07 7:00,12997,12997,12997,12997,12997
1/22/07 8:00,13066,13066,13066,13066,13066
1/22/07 9:00,13119,13119,13119,13119,13119
1/22/07 10:00,13258,13258,13258,13258,13258
1/22/07 11:00,13126,13126,13126,13126,13126
1/22/07 12:00,13151,13151,13151,13151,13151
1/22/07 13:00,13096,13096,13096,13096,13096
1/22/07 14:00,13061,13061,13061,13061,13061
1/22/07 15:00,12945,12945,12945,12945,12945
1/22/07 16:00,13491,13491,13491,13491,13491
1/22/07 17:00,13670,13670,13670,13670,13670
1/22/07 18:00,13204,13204,13204,13204,13204
1/22/07 19:00,12552,12552,12552,12552,12552
1/22/07 20:00,11942,11942,11942,11942,11942
1/22/07 21:00,12145,12145,12145,12145,12145
1/22/07 22:00,12181,12181,12181,12181,12181
1/22/07 23:00,11537,11537,11537,11537,11537
1/23/07 0:00,11011,11011,11011,11011,11011
1/23/07 1:00,10659,10659,10659,10659,10659
1/23/07 2:00,10385,10385,10385,10385,10385
1/23/07 3:00,10346,10346,10346,10346,10346
1/23/07 4:00,10686,10686,10686,10686,10686
1/23/07 5:00,11798,11798,11798,11798,11798
1/23/07 6:00,12727,12727,12727,12727,12727
1/23/07 7:00,13072,13072,13072,13072,13072
1/23/07 8:00,13146,13146,13146,13146,13146
1/23/07 9:00,13144,13144,13144,13144,13144
1/23/07 10:00,13234,13234,13234,13234,13234
1/23/07 11:00,12947,12947,12947,12947,12947
1/23/07 12:00,12903,12903,12903,12903,12903
1/23/07 13:00,12757,12757,12757,12757,12757
1/23/07 14:00,12589,12589,12589,12589,12589
1/23/07 15:00,12526,12526,12526,12526,12526
1/23/07 16:00,13057,13057,13057,13057,13057
1/23/07 17:00,13234,13234,13234,13234,13234
1/23/07 18:00,12743,12743,12743,12743,12743
1/23/07 19:00,12215,12215,12215,12215,12215
1/23/07 20:00,11649,11649,11649,11649,11649
1/23/07 21:00,12007,12007,12007,12007,12007
1/23/07 22:00,12074,12074,12074,12074,12074
