Hour,day_ahead_norm,Wind Farm 1 (MW),day_ahead_norm,Wind Farm 2 (MW),day_ahead_norm,Wind Farm 3 (MW),day_ahead_norm,Wind Farm 4 (MW),day_ahead_norm,Wind Farm 5 (MW),Wind Farm 6 (MW),day_ahead_norm,Offshore Wind1 (MW),Offshore Wind (MW),year
1/2/07 23:00,0.657383025,9860.74537,0.745448649,11181.72973,0.759745777,11396.18665,0.693275571,10399.13356,0.667244375,10008.66562,11126.95545,0.74179703,0.610684156,9160.26234,2007
1/3/07 0:00,0.693814754,10407.22132,0.77441889,11616.28336,0.787469089,11812.03634,0.726621926,10899.32889,0.702941179,10544.11769,11566.23155,0.771082103,0.578733265,8680.998975,2007
1/3/07 1:00,0.693814754,10407.22132,0.77441889,11616.28336,0.787469089,11812.03634,0.726621926,10899.32889,0.702941179,10544.11769,11566.23155,0.771082103,0.218985677,3284.785155,2007
1/3/07 2:00,0.693814754,10407.22132,0.77441889,11616.28336,0.787469089,11812.03634,0.726621926,10899.32889,0.702941179,10544.11769,11566.23155,0.771082103,0.209754661,3146.319915,2007
1/3/07 3:00,0.693814754,10407.22132,0.77441889,11616.28336,0.787469089,11812.03634,0.726621926,10899.32889,0.702941179,10544.11769,11566.23155,0.771082103,0.196263894,2943.95841,2007
1/3/07 4:00,0.693814754,10407.22132,0.77441889,11616.28336,0.787469089,11812.03634,0.726621926,10899.32889,0.702941179,10544.11769,11566.23155,0.771082103,0.180190936,2702.86404,2007
1/3/07 5:00,0.693814754,10407.22132,0.77441889,11616.28336,0.787469089,11812.03634,0.726621926,10899.32889,0.702941179,10544.11769,11566.23155,0.771082103,0.163920909,2458.813635,2007
1/3/07 6:00,0.693814754,10407.22132,0.77441889,11616.28336,0.787469089,11812.03634,0.726621926,10899.32889,0.702941179,10544.11769,11566.23155,0.771082103,0.149119973,2236.799595,2007
1/3/07 7:00,0.693814754,10407.22132,0.77441889,11616.28336,0.787469089,11812.03634,0.726621926,10899.32889,0.702941179,10544.11769,11566.23155,0.771082103,0.14135392,2120.3088,2007
1/3/07 8:00,0.693814754,10407.22132,0.77441889,11616.28336,0.787469089,11812.03634,0.726621926,10899.32889,0.702941179,10544.11769,11566.23155,0.771082103,0.126321912,1894.82868,2007
1/3/07 9:00,0.693814754,10407.22132,0.77441889,11616.28336,0.787469089,11812.03634,0.726621926,10899.32889,0.702941179,10544.11769,11566.23155,0.771082103,0.146356881,2195.353215,2007
1/3/07 10:00,0.693814754,10407.22132,0.77441889,11616.28336,0.787469089,11812.03634,0.726621926,10899.32889,0.702941179,10544.11769,11566.23155,0.771082103,0.17944321,2691.64815,2007
1/3/07 11:00,0.693814754,10407.22132,0.77441889,11616.28336,0.787469089,11812.03634,0.726621926,10899.32889,0.702941179,10544.11769,11566.23155,0.771082103,0.220989168,3314.83752,2007
1/3/07 12:00,0.726361752,10895.42627,0.800648391,12009.72587,0.812494695,12187.42043,0.756613612,11349.20418,0.734820545,11022.30817,11964.19984,0.797613323,0.268705815,4030.587225,2007
1/3/07 13:00,0.726361752,10895.42627,0.800648391,12009.72587,0.812494695,12187.42043,0.756613612,11349.20418,0.734820545,11022.30817,11964.19984,0.797613323,0.322763681,4841.455215,2007
1/3/07 14:00,0.726361752,10895.42627,0.800648391,12009.72587,0.812494695,12187.42043,0.756613612,11349.20418,0.734820545,11022.30817,11964.19984,0.797613323,0.37059474,5558.9211,2007
1/3/07 15:00,0.726361752,10895.42627,0.800648391,12009.72587,0.812494695,12187.42043,0.756613612,11349.20418,0.734820545,11022.30817,11964.19984,0.797613323,0.413663,6204.945,2007
1/3/07 16:00,0.726361752,10895.42627,0.800648391,12009.72587,0.812494695,12187.42043,0.756613612,11349.20418,0.734820545,11022.30817,11964.19984,0.797613323,0.462299526,6934.49289,2007
1/3/07 17:00,0.726361752,10895.42627,0.800648391,12009.72587,0.812494695,12187.42043,0.756613612,11349.20418,0.734820545,11022.30817,11964.19984,0.797613323,0.51909709,7786.45635,2007
1/3/07 18:00,0.726361752,10895.42627,0.800648391,12009.72587,0.812494695,12187.42043,0.756613612,11349.20418,0.734820545,11022.30817,11964.19984,0.797613323,0.581188917,8717.833755,2007
1/3/07 19:00,0.726361752,10895.42627,0.800648391,12009.72587,0.812494695,12187.42043,0.756613612,11349.20418,0.734820545,11022.30817,11964.19984,0.797613323,0.62958777,9443.81655,2007
1/3/07 20:00,0.726361752,10895.42627,0.800648391,12009.72587,0.812494695,12187.42043,0.756613612,11349.20418,0.734820545,11022.30817,11964.19984,0.797613323,0.678668678,10180.03017,2007
1/3/07 21:00,0.726361752,10895.42627,0.800648391,12009.72587,0.812494695,12187.42043,0.756613612,11349.20418,0.734820545,11022.30817,11964.19984,0.797613323,0.729636669,10944.55004,2007
1/3/07 22:00,0.726361752,10895.42627,0.800648391,12009.72587,0.812494695,12187.42043,0.756613612,11349.20418,0.734820545,11022.30817,11964.19984,0.797613323,0.741482556,11122.23834,2007
1/3/07 23:00,0.726361752,10895.42627,0.800648391,12009.72587,0.812494695,12187.42043,0.756613612,11349.20418,0.734820545,11022.30817,11964.19984,0.797613323,0.746316016,11194.74024,2007
1/4/07 0:00,0.755729258,11335.93887,0.824306607,12364.59911,0.835144877,12527.17316,0.783653021,11754.79531,0.763535321,11453.02981,12322.78258,0.821518838,0.750828564,11262.42846,2007
1/4/07 1:00,0.755729258,11335.93887,0.824306607,12364.59911,0.835144877,12527.17316,0.783653021,11754.79531,0.763535321,11453.02981,12322.78258,0.821518838,0.79421401,11913.21015,2007
1/4/07 2:00,0.755729258,11335.93887,0.824306607,12364.59911,0.835144877,12527.17316,0.783653021,11754.79531,0.763535321,11453.02981,12322.78258,0.821518838,0.786792636,11801.88954,2007
1/4/07 3:00,0.755729258,11335.93887,0.824306607,12364.59911,0.835144877,12527.17316,0.783653021,11754.79531,0.763535321,11453.02981,12322.78258,0.821518838,0.768489361,11527.34042,2007
1/4/07 4:00,0.755729258,11335.93887,0.824306607,12364.59911,0.835144877,12527.17316,0.783653021,11754.79531,0.763535321,11453.02981,12322.78258,0.821518838,0.755879104,11338.18656,2007
1/4/07 5:00,0.755729258,11335.93887,0.824306607,12364.59911,0.835144877,12527.17316,0.783653021,11754.79531,0.763535321,11453.02981,12322.78258,0.821518838,0.734101057,11011.51586,2007
1/4/07 6:00,0.755729258,11335.93887,0.824306607,12364.59911,0.835144877,12527.17316,0.783653021,11754.79531,0.763535321,11453.02981,12322.78258,0.821518838,0.710440755,10656.61133,2007
1/4/07 7:00,0.755729258,11335.93887,0.824306607,12364.59911,0.835144877,12527.17316,0.783653021,11754.79531,0.763535321,11453.02981,12322.78258,0.821518838,0.675564528,10133.46792,2007
1/4/07 8:00,0.755729258,11335.93887,0.824306607,12364.59911,0.835144877,12527.17316,0.783653021,11754.79531,0.763535321,11453.02981,12322.78258,0.821518838,0.628251374,9423.77061,2007
1/4/07 9:00,0.755729258,11335.93887,0.824306607,12364.59911,0.835144877,12527.17316,0.783653021,11754.79531,0.763535321,11453.02981,12322.78258,0.821518838,0.595467567,8932.013505,2007
1/4/07 10:00,0.755729258,11335.93887,0.824306607,12364.59911,0.835144877,12527.17316,0.783653021,11754.79531,0.763535321,11453.02981,12322.78258,0.821518838,0.583074033,8746.110495,2007
1/4/07 11:00,0.755729258,11335.93887,0.824306607,12364.59911,0.835144877,12527.17316,0.783653021,11754.79531,0.763535321,11453.02981,12322.78258,0.821518838,0.588754714,8831.32071,2007
1/4/07 12:00,0.818954349,12284.31523,0.87556982,13133.54731,0.886313021,13294.69532,0.841317415,12619.76123,0.825669169,12385.03754,13114.61002,0.874307334,0.601969004,9029.53506,2007
1/4/07 13:00,0.818954349,12284.31523,0.87556982,13133.54731,0.886313021,13294.69532,0.841317415,12619.76123,0.825669169,12385.03754,13114.61002,0.874307334,0.608024776,9120.37164,2007
1/4/07 14:00,0.818954349,12284.31523,0.87556982,13133.54731,0.886313021,13294.69532,0.841317415,12619.76123,0.825669169,12385.03754,13114.61002,0.874307334,0.607993662,9119.90493,2007
1/4/07 15:00,0.818954349,12284.31523,0.87556982,13133.54731,0.886313021,13294.69532,0.841317415,12619.76123,0.825669169,12385.03754,13114.61002,0.874307334,0.614093602,9211.40403,2007
1/4/07 16:00,0.818954349,12284.31523,0.87556982,13133.54731,0.886313021,13294.69532,0.841317415,12619.76123,0.825669169,12385.03754,13114.61002,0.874307334,0.618444979,9276.674685,2007
1/4/07 17:00,0.818954349,12284.31523,0.87556982,13133.54731,0.886313021,13294.69532,0.841317415,12619.76123,0.825669169,12385.03754,13114.61002,0.874307334,0.620043039,9300.645585,2007
